,Datetime,Text,clean_text,label
38,2022-12-14 04:25:20+00:00,"@txtdarisisange Udh kek cukup kemaren grgr makan kelelawar jadi corona, trs cacar monyet, nanti ada virus apa lagi ini yaallah grgr makan tai",Udh kek cukup kemaren grgr makan kelelawar jadi corona trs cacar monyet nanti ada virus apa lagi ini yaallah grgr makan tai,neutral
42,2022-12-13 08:13:34+00:00,"@ProtectorMasker 10 + 10 = 20
5 + 5 = 10
10 : 5 = 2

Yuk ikutan juga
@Ronyklt 
@hryt_riaa 
@Mancah_ 

#WingscareProtector
#BersamaSalingJaga
#maskerearloop
#CacarMonyet",Yuk ikutan juga riaa WingscareProtector BersamaSalingJaga maskerearloop CacarMonyet,neutral
43,2022-12-13 07:38:15+00:00,"@ProtectorMasker 10 + 10 = 20
5 + 5 = 10
10 : 5 = 2

segera ikut :
@Erlina908822 
@SusiyuliantiAs 
@DhewiRiyanti01 

#WingscareProtector
#BersamaSalingJaga
#maskerearloop
#CacarMonyet",segera ikut WingscareProtector BersamaSalingJaga maskerearloop CacarMonyet,neutral
44,2022-12-13 04:07:05+00:00,"Yuk ikut sekarang dan ajak teman-temanmu buat ikutan juga.

#BersamaSalingJaga
#maskerearloop
#CacarMonyet",Yuk ikut sekarang dan ajak teman temanmu buat ikutan juga BersamaSalingJaga maskerearloop CacarMonyet,neutral
46,2022-12-11 05:24:59+00:00,Dikabarin mba kosan di setiabudi ada yg kena cacar monyet serem bgt 😥,Dikabarin mba kosan setiabudi ada kena cacar monyet serem bgt,neutral
47,2022-12-10 03:05:35+00:00,@maybacod @kucingkebayoran @OHMYV3NUS cacar monyet,cacar monyet,neutral
50,2022-12-08 03:59:35+00:00,"Maju????

AHAHAHHAHAHAHAH! Seram ya kena cacar monyet, HIV dan penyakit kelamin lain dianggap ""maju"".",Maju AHAHAHHAHAHAHAH Seram kena cacar monyet HIV dan penyakit kelamin lain dianggap maju,neutral
51,2022-12-07 14:33:34+00:00,@Bagas_eaw Salah satunya cacar monyet.,eaw Salah satunya cacar monyet,neutral
52,2022-12-07 14:24:39+00:00,@ohmybeautybank Cacar monyet katanyaa,Cacar monyet katanyaa,neutral
53,2022-12-07 07:44:39+00:00,@ohmybeautybank Cacar monyet,Cacar monyet,neutral
54,2022-12-05 13:03:24+00:00,@reiveals @demuregion @god Cacar monyet perasaan,Cacar monyet perasaan,neutral
55,2022-12-05 05:14:24+00:00,ADUH MONYET PAS SISA 2 hari AJE PAKE CACAR SGALA SI BABI,ADUH MONYET PAS SISA hari AJE PAKE CACAR SGALA BABI,neutral
56,2022-12-05 03:07:09+00:00,mo ujan badai gempa bumi tsunami tornado covid cacar monyet virus zombie pun bakal gw terjang demi nnton avatar 2,ujan badai gempa bumi tsunami tornado covid cacar monyet virus zombie pun bakal terjang demi nnton avatar,neutral
57,2022-12-05 01:06:58+00:00,"Masih nanti siang periksa ke dokternya, cuman semoga aja engga bener cacar monyet. 😭😭😭",Masih nanti siang periksa dokternya cuman semoga aja engga bener cacar monyet,neutral
58,2022-12-04 23:05:49+00:00,@nixon_wonda @anaknegri76 @OposisiCerdas Cacar monyet itu apa?,wonda Cacar monyet itu apa,neutral
59,2022-12-04 11:19:49+00:00,@antintclub Ngeri kena cacar monyet kalo abis di sun,Ngeri kena cacar monyet kalo abis sun,neutral
62,2022-12-04 00:17:31+00:00,@Galih_Adhyatomo Apalagi monyet virus cacar,Adhyatomo Apalagi monyet virus cacar,neutral
63,2022-12-03 12:10:29+00:00,"@eboniwatch 1. kuda, ayam, bebek, lele (sate kuda, sate ayam, bebek goreng, pecel lele)
2. burung, babi, monyet (flu burung, flu babi, cacar monyet)
3. lembu",kuda ayam bebek lele sate kuda sate ayam bebek goreng pecel lele burung babi monyet flu burung flu babi cacar monyet lembu,neutral
64,2022-12-03 10:34:36+00:00,"@serbuktehhh Ih cacar monyet, pantes belakangan ini kek monyet u",cacar monyet pantes belakangan ini kek monyet,neutral
65,2022-12-02 13:07:01+00:00,"@andiekefiano Ketika kanker anus menghinggapi, ketika HIV aids menggerogoti, ketika cacar monyet memutus bagian bagian tubuh, ketika borok luka selebar badan gak sembuh sembuh...percayalah...tak ada aktivis HAM yg mensupport...you live wrong and die suffer...",Ketika kanker anus menghinggapi ketika HIV aids menggerogoti ketika cacar monyet memutus bagian bagian tubuh ketika borok luka selebar badan gak sembuh sembuh percayalah tak ada aktivis HAM mensupport you live wrong and die suffer,negative
67,2022-12-02 10:02:23+00:00,dipercayai Anwar sedang memilih TPM yg berwajah jambu dan tiada penyakit cacar monyet...,dipercayai Anwar sedang memilih TPM berwajah jambu dan tiada penyakit cacar monyet,neutral
68,2022-12-02 03:09:39+00:00,@pacarillumi lebih baik ku meninggoy dari pada kena cacar monyet 😔,lebih baik meninggoy dari pada kena cacar monyet,neutral
71,2022-12-01 03:22:18+00:00,@guccai takut cacar monyet🙏🏻,takut cacar monyet,neutral
78,2022-11-30 11:49:24+00:00,kmrn2 cacar monyet skrg virus zombi menghadeuh,kmrn2 cacar monyet skrg virus zombi menghadeuh,neutral
85,2022-11-30 05:26:28+00:00,"@Askrlfess aku pernahnya cacar monyet, sekitar 2 minggu dan ya, susah bgt ngilangin bekasnya 😩",aku pernahnya cacar monyet sekitar minggu dan susah bgt ngilangin bekasnya,neutral
94,2022-11-30 02:29:39+00:00,@DokterTifa Ganti sj drcacar monyet k cacar homo,Ganti drcacar monyet cacar homo,neutral
101,2022-11-30 00:38:01+00:00,"@DokterTifa Bu dokter kan pinter kenapa gak ibu aja yang musnahkan cacar monyet ,.. biar  dokter tifa jadi orang no 1 di dunia yang telah berhasil memusnahkan cacar monyet,woow kereeennn👍👍👍",dokter kan pinter kenapa gak ibu aja yang musnahkan cacar monyet biar dokter tifa jadi orang dunia yang telah berhasil memusnahkan cacar monyet woow kereeennn,neutral
103,2022-11-29 23:38:53+00:00,"@anonapostate @dina_sulaeman udah ngecek juga ngk berapa banyak wanita yg hancur karena ngikutin budaya barat😐, tau ngk penyakit mematikan cacar monyet penyebab utamnya dari mana?,",sulaeman udah ngecek juga ngk berapa banyak wanita hancur karena ngikutin budaya barat tau ngk penyakit mematikan cacar monyet penyebab utamnya dari mana,neutral
104,2022-11-29 22:46:33+00:00,@DokterTifa Cacar monyet punya stigma negatif dari masyarakat bagi para pelaku homo lesbi yg tertular.. Cacar monyet mayoritas di idap pelaku homo lesbi. Istilah lgbt jg utk mengubah stigma negatif dari nama sbenarnya yaitu homo lesbi. Kasian klo diluar kaum lgbt yg tertular dan kena cap,Cacar monyet punya stigma negatif dari masyarakat bagi para pelaku homo lesbi tertular Cacar monyet mayoritas idap pelaku homo lesbi Istilah lgbt utk mengubah stigma negatif dari nama sbenarnya yaitu homo lesbi Kasian klo diluar kaum lgbt tertular dan kena cap,neutral
105,2022-11-29 15:54:48+00:00,"Cacar monyet, flu babi, anjing kapan kebagiannya?",Cacar monyet flu babi anjing kapan kebagiannya,neutral
112,2022-11-29 12:39:10+00:00,Cacar Monyet Di Tukar Nama Sebagai MPox,Cacar Monyet Tukar Nama Sebagai MPox,neutral
114,2022-11-29 12:33:28+00:00,"Cacar monyet namanya diubah dari monkeypox jadi mpox, mungkin terinspirasi dari panggilan kakak perempuan betawi.",Cacar monyet namanya diubah dari monkeypox jadi mpox mungkin terinspirasi dari panggilan kakak perempuan betawi,neutral
125,2022-11-29 09:29:51+00:00,Cacar monyet ganti nama. Dari Monkeypox jadi Mpox.,Cacar monyet ganti nama Dari Monkeypox jadi Mpox,neutral
129,2022-11-29 08:57:15+00:00,"Kedua nama tersebut akan digunakan secara bersamaan selama satu tahun. Dan setelahnya, nama cacar monyet' dihapus, demikian dikatakan WHO dalam sebuah pernyataan.",Kedua nama tersebut akan digunakan secara bersamaan selama satu tahun Dan setelahnya nama cacar monyet dihapus demikian dikatakan WHO dalam sebuah pernyataan,neutral
163,2022-11-28 14:43:28+00:00,@nananaswaa @rotiabonn @QuevaraIseki lg baca jurnal study case penyakit cacar monyet,baca jurnal study case penyakit cacar monyet,neutral
170,2022-11-28 07:48:56+00:00,@arrie_tyy Cacar monyet,tyy Cacar monyet,neutral
171,2022-11-28 06:26:35+00:00,"@CNNIndonesia @msaid_didu lah negara demokrasi kok larang larang!!!
urus dulu tuh kipi vaksin!!
gagal ginjal!!
oh ya proyek global cacar monyet gagal ya?
Masyarakat udh ga mau di takut2in lg!!",didu lah negara demokrasi kok larang larang urus dulu tuh kipi vaksin gagal ginjal proyek global cacar monyet gagal Masyarakat udh mau takut2in,neutral
173,2022-11-27 17:38:52+00:00,@ArthurMo16 @pacarrbaekhyun @fragilegurll_ Lu tau cacar monyet biang keladi nya siapa ga?????,tau cacar monyet biang keladi nya siapa,neutral
174,2022-11-26 14:26:09+00:00,"Haha susah bgt ngilangin trauma nya bojo ngajak anak ke Playground. Karena kemaren sebelum lebaran anak aku di ajak ayahnya main ke Playground, terus besoknya sakit cacar monyet/flu Singapura atau apalah. Sampek sekarang kapok bgt ayah nya 😅 pan kasian anak nye dirumah mulu",Haha susah bgt ngilangin trauma nya bojo ngajak anak Playground Karena kemaren sebelum lebaran anak aku ajak ayahnya main Playground terus besoknya sakit cacar monyet flu Singapura atau apalah Sampek sekarang kapok bgt ayah nya pan kasian anak nye dirumah mulu,positive
175,2022-11-26 12:44:23+00:00,"@liatono @Cattl3yya Lgbt kaum cacar monyet, penyebar penyakit. Orang tua mu aja ga mau ngakuin lu anaknya, perjuangin tu penyebaran penyakit",Lgbt kaum cacar monyet penyebar penyakit Orang tua aja mau ngakuin anaknya perjuangin penyebaran penyakit,neutral
176,2022-11-26 10:38:01+00:00,"@Maudy_kena_asma @ganjarpranowo Mau nanya, itu cacar aer apa cacar monyet ya",kena asma Mau nanya itu cacar aer apa cacar monyet,neutral
177,2022-11-25 22:52:57+00:00,"@tanyarlfes Saya cinta jadi homophobic, daripada nanti saya kena HIV dan cacar monyet. Terima kasih. 
Lebih baik jadi LGBT : Lelaki Gagah Bini Tjantik",Saya cinta jadi homophobic daripada nanti saya kena HIV dan cacar monyet Terima kasih Lebih baik jadi LGBT Lelaki Gagah Bini Tjantik,neutral
178,2022-11-25 22:47:07+00:00,"@zenrs Saya cinta jadi homophobic, daripada nanti saya kena HIV dan cacar monyet. 
Weii LGBT kalian gak capek apa Bikin gaduh terus? 
Kalian itu sudah jadi musuh seluruh negara. 🤣
Bahkan US dan UK aja lagi pada krisis itu kalau gak gender kayak yang ini pasti ekonomi 🤣",Saya cinta jadi homophobic daripada nanti saya kena HIV dan cacar monyet Weii LGBT kalian gak capek apa Bikin gaduh terus Kalian itu sudah jadi musuh seluruh negara Bahkan dan aja lagi pada krisis itu kalau gak gender kayak yang ini pasti ekonomi,neutral
179,2022-11-25 17:11:10+00:00,"@tanyakanrl Pas lg breakout ""ih mukamu knapa? Kena cacar monyet ya?"" -ucap ibu2 yg tingginya hanya semeter
Pas SD diajak main sm teman ""Alah si (namaku) paling duitnya cmn serebu"" -ucap ponakan bupati yg sampe skrg aku gk mau liat mukanya",Pas breakout mukamu knapa Kena cacar monyet ucap ibu2 tingginya hanya semeter Pas diajak main teman Alah namaku paling duitnya cmn serebu ucap ponakan bupati sampe skrg aku mau liat mukanya,positive
181,2022-11-25 01:34:36+00:00,@misterdads Cacar monyet?,Cacar monyet,neutral
182,2022-11-24 14:10:28+00:00,@restyca_yah @Peni_Asih @DivHumas_Polri @mohmahfudmd @niluhdjelantik Kyknya doi mesti klarifikasi kalo itu bukan koreng. Bisa jd cacar monyet,yah Asih Polri Kyknya doi mesti klarifikasi kalo itu bukan koreng Bisa cacar monyet,neutral
183,2022-11-24 08:44:00+00:00,@menghanyurkan Cacar monyet,Cacar monyet,neutral
184,2022-11-24 01:20:17+00:00,"@NickLesShots @TrollFootball gak ada hubungannya pekerja konstruksi mati sama LGBTQ+ ,, yg ada cacar monyet",gak ada hubungannya pekerja konstruksi mati sama LGBTQ ada cacar monyet,neutral
191,2022-11-23 08:32:43+00:00,@yfurip “Cacar monyet tapi colorful dong mba”,Cacar monyet tapi colorful dong mba,positive
193,2022-11-23 05:52:08+00:00,@HAYODOY tar gue kena cacar monyet zen deket2 lu,tar gue kena cacar monyet zen deket2,neutral
194,2022-11-22 15:51:55+00:00,@anilev__ fix cacar monyet,fix cacar monyet,neutral
195,2022-11-22 12:57:04+00:00,@n444dn gejala awal cacar monyet ini ma hayo,gejala awal cacar monyet ini hayo,neutral
196,2022-11-22 11:15:35+00:00,"@restumitra @eRS_AREMA021 Bodoh jng dipamerin hei LGBTQ mania 
Yg goblok yg pro LGBTQ bahlul lu udah ada penyakit HIV hingga cacar monyet heran otak lu gak terbuka jg apa perlu lu kena HIV hingga cacar monyet dulu baru berubah?",AREMA021 Bodoh jng dipamerin hei LGBTQ mania goblok pro LGBTQ bahlul udah ada penyakit HIV hingga cacar monyet heran otak gak terbuka apa perlu kena HIV hingga cacar monyet dulu baru berubah,neutral
197,2022-11-22 11:14:45+00:00,@therealbangjul @eRS_AREMA021 Yg goblok yg pro LGBTQ bahlul lu udah ada penyakit HIV hingga cacar monyet heran otak lu gak terbuka jg apa perlu lu kena HIV hingga cacar monyet dulu baru berubah?,AREMA021 goblok pro LGBTQ bahlul udah ada penyakit HIV hingga cacar monyet heran otak gak terbuka apa perlu kena HIV hingga cacar monyet dulu baru berubah,neutral
198,2022-11-22 11:13:35+00:00,@WisnuBr67425199 @eRS_AREMA021 Yg goblok yg pro LGBTQ bahlul lu udah ada penyakit HIV hingga cacar monyet heran otak lu gak terbuka jg apa perlu lu kena HIV hingga cacar monyet dulu baru berubah?,AREMA021 goblok pro LGBTQ bahlul udah ada penyakit HIV hingga cacar monyet heran otak gak terbuka apa perlu kena HIV hingga cacar monyet dulu baru berubah,neutral
199,2022-11-22 11:13:26+00:00,@nusantara_one @eRS_AREMA021 Yg goblok yg pro LGBTQ bahlul lu udah ada penyakit HIV hingga cacar monyet heran otak lu gak terbuka jg apa perlu lu kena HIV hingga cacar monyet dulu baru berubah?,one AREMA021 goblok pro LGBTQ bahlul udah ada penyakit HIV hingga cacar monyet heran otak gak terbuka apa perlu kena HIV hingga cacar monyet dulu baru berubah,neutral
200,2022-11-22 11:13:15+00:00,@Utara99912 @eRS_AREMA021 Yg goblok yg pro LGBTQ bahlul lu udah ada penyakit HIV hingga cacar monyet heran otak lu gak terbuka jg apa perlu lu kena HIV hingga cacar monyet dulu baru berubah?,AREMA021 goblok pro LGBTQ bahlul udah ada penyakit HIV hingga cacar monyet heran otak gak terbuka apa perlu kena HIV hingga cacar monyet dulu baru berubah,neutral
201,2022-11-22 10:34:46+00:00,"@Partono_ADjem Gak plus cacar monyet sekalian, om ? 😋🤣",ADjem Gak plus cacar monyet sekalian,neutral
202,2022-11-22 04:00:07+00:00,@KPL_rpw @Qshareina @CNNIndonesia awas kena cacar monyet,rpw awas kena cacar monyet,neutral
203,2022-11-22 02:50:14+00:00,Itu bukannya kaya cacar monyet ya?,Itu bukannya kaya cacar monyet,neutral
205,2022-11-21 20:14:59+00:00,@KPL_rpw @ikhwan95 @CNNIndonesia Awas kenak cacar monyet krna keseringan tusbol 🤣🤣🤣,rpw Awas kenak cacar monyet krna keseringan tusbol,neutral
206,2022-11-21 16:56:15+00:00,"Dok dulu pernah ada cacar air. Itu virus gak pake booster booster sampe sekarang hilang kenapa ya?

Cacar monyet kemana sekarang?

Terus virus mana yg lebih mudah bermutasi? Apa sebabnya berbeda dengan virus cacar air, anjing gila, hiv, ebola,",Dok dulu pernah ada cacar air Itu virus gak pake booster booster sampe sekarang hilang kenapa Cacar monyet kemana sekarang Terus virus mana lebih mudah bermutasi Apa sebabnya berbeda dengan virus cacar air anjing gila hiv ebola,neutral
208,2022-11-20 17:13:25+00:00,"@yudimeno @FSite90 @fajrifitrians @apibesarkonoha @Fadlipenyair @CNNIndonesia Mungkin anda tidak ada agama, bahkan di beberapa negara melarang LGBT Karena ada kasus cacar monyet bukan kah itu ilmu biologi.?.? Di agama juga di ajari ilmu biologi kok, di larang di agama berarti tidak baik untuk keseluruhan coba pelajari lagi bg, jangan asal ngomong aja",Mungkin anda tidak ada agama bahkan beberapa negara melarang LGBT Karena ada kasus cacar monyet bukan kah itu ilmu biologi agama juga ajari ilmu biologi kok larang agama berarti tidak baik untuk keseluruhan coba pelajari lagi jangan asal ngomong aja,neutral
210,2022-11-20 13:22:03+00:00,"@yudimeno @Fadlipenyair @apibesarkonoha @CNNIndonesia Beda kasus,yg dilihat itu dampaknya untuk orang bayak. Secara ilmiah pun terbukti,bahkan menurut lembaga kesehatan amerika juga (yg byk lgbt) bahwa lgbt ini membawa penyakit.Ngeri,dan kbykn kya kmu kaum LSL. 99% cacar monyet di amerika adalah lelaki gay/bi. FAKTA!.",Beda kasus dilihat itu dampaknya untuk orang bayak Secara ilmiah pun terbukti bahkan menurut lembaga kesehatan amerika juga byk lgbt bahwa lgbt ini membawa penyakit Ngeri dan kbykn kya kmu kaum LSL cacar monyet amerika adalah lelaki gay FAKTA,positive
211,2022-11-20 13:04:27+00:00,"@yudimeno @Fadlipenyair @apibesarkonoha @CNNIndonesia Faktanya lgbt membawa penyakit,HIV/AIDS pertama di dunia dari laki"" gay ,cacar monyet dari kaum lgbt,mau ngebantah lagi lu maho?",Faktanya lgbt membawa penyakit HIV AIDS pertama dunia dari laki gay cacar monyet dari kaum lgbt mau ngebantah lagi maho,positive
212,2022-11-19 13:11:05+00:00,"Dah coved, dan flu singapur, dah cacar monyet, dah gagal ginjal akut, sekarang polio. Allahuakbar😮‍💨",Dah coved dan flu singapur dah cacar monyet dah gagal ginjal akut sekarang polio Allahuakbar,neutral
213,2022-11-19 12:00:32+00:00,@MartaArdy Cacar monyet 🤣,Cacar monyet,neutral
214,2022-11-17 09:56:16+00:00,@trashinburn @adruuul Barkui keno cacar monyet,Barkui keno cacar monyet,neutral
216,2022-11-17 06:17:04+00:00,@kadyasandya @xalphacentaurix Carnyet (Cacar monyet),Carnyet Cacar monyet,neutral
221,2022-11-15 19:41:34+00:00,"Nabi Muhammad SAW menunggu di telaga kausar dengan wajah putih bersih bersinar jangan datang dengan wajah menghitam dg mata kuning2 an.. Itu wajah yg memalukan.. Wahai Umatku.. Aplg wajah penuh cacar monyet.. Jangan.. Permalukan aku di hadapan umatnya musa, ibrahim, isa dll",Nabi Muhammad SAW menunggu telaga kausar dengan wajah putih bersih bersinar jangan datang dengan wajah menghitam mata kuning2 Itu wajah memalukan Wahai Umatku Aplg wajah penuh cacar monyet Jangan Permalukan aku hadapan umatnya musa ibrahim isa dll,neutral
223,2022-11-15 09:15:07+00:00,"Katanya pihak bintang ungunya tidak bisa dihubungi atau susah dihubungi padahal jelas jelas sudah dikasih no rek kepala sekolahnya. Beralasan sakit cacar monyet tidak bisa keluar rumah untuk tf, suami gila mau diceraikan, alasan anaknya sakit, dll",Katanya pihak bintang ungunya tidak bisa dihubungi atau susah dihubungi padahal jelas jelas sudah dikasih rek kepala sekolahnya Beralasan sakit cacar monyet tidak bisa keluar rumah untuk suami gila mau diceraikan alasan anaknya sakit dll,neutral
225,2022-11-15 05:44:50+00:00,@BoyzFess_ Gpp emut aja biar jd bgian dr monyet juga kan wkwk cacar monyet🤏🏻,Gpp emut aja biar bgian monyet juga kan wkwk cacar monyet,neutral
226,2022-11-15 03:37:24+00:00,@JJHtify Cacar monyet,Cacar monyet,neutral
229,2022-11-14 17:25:39+00:00,@ihsanabdurr Cacar monyet?,Cacar monyet,neutral
230,2022-11-14 11:56:51+00:00,@grnWidya @wongsovedaa @bonek_klaten cacar monyet nek iki,klaten cacar monyet nek iki,neutral
234,2022-11-14 04:26:50+00:00,"Kenapa monkey pox = cacar monyet, tapi chicken pox = cacar air?!?! Indonesia explain!!!",Kenapa monkey pox cacar monyet tapi chicken pox cacar air Indonesia explain,negative
235,2022-11-14 01:13:42+00:00,"@18fesss Bawa dia menuju lebih baik:) haram ya haram. Selain agama ada sisi kesehatan juga, cacar monyet? Salah satu akibatnya kan.",Bawa dia menuju lebih baik haram haram Selain agama ada sisi kesehatan juga cacar monyet Salah satu akibatnya kan,neutral
236,2022-11-14 00:49:17+00:00,"Pertama kali ditemukan pada tahun 1958 di State Serum Institute Copenhagen Denmark, ketika ada 2 kasus mirip cacar yang diderita sekelompok kera untuk penelitian di laboratorium, sehingga kemudian cacar ini dinamakan monkey pox atau cacar monyet.",Pertama kali ditemukan pada tahun 1958 State Serum Institute Copenhagen Denmark ketika ada kasus mirip cacar yang diderita sekelompok kera untuk penelitian laboratorium sehingga kemudian cacar ini dinamakan monkey pox atau cacar monyet,negative
238,2022-11-13 09:18:45+00:00,"@penisky @Askrlfess gosah, terakhir berencana malah covid. gw ga mau cacar monyet jadi pandemi",gosah terakhir berencana malah covid mau cacar monyet jadi pandemi,neutral
239,2022-11-13 07:10:47+00:00,@kerrraaasssd @siboniii @AREAJULID Lah gue kirain lo dah mati kena cacar monyet/penyakit menular seksual loh. Kenapa? Panas? Kebakar? Buang waktu? Jilat dulu ludah sendiri itu wahai kaum sodom.,Lah gue kirain dah mati kena cacar monyet penyakit menular seksual loh Kenapa Panas Kebakar Buang waktu Jilat dulu ludah sendiri itu wahai kaum sodom,neutral
240,2022-11-13 05:50:25+00:00,@uJohnny Kenapa gitu? Tiby ada cacar monyet kah?😔💔,Kenapa gitu Tiby ada cacar monyet kah,neutral
241,2022-11-13 01:11:17+00:00,"@lafefari @siboniii @AREAJULID Hati hati bang, eh mbak, kena cacar monyet dan HIV/AIDS serta penyakit menular seksual lainnya, nanti dah kena kora kora ngamuk karena merasa dikucilkan (bener nggak?)",Hati hati bang mbak kena cacar monyet dan HIV AIDS serta penyakit menular seksual lainnya nanti dah kena kora kora ngamuk karena merasa dikucilkan bener nggak,neutral
242,2022-11-12 10:34:14+00:00,"Jangan lupa juga tetap jaga kesehatan dan pakai masker #WingscareProtector di momen Hari Kesehatan kali ini, ya!

#BersamaSalingJaga
#maskerearloop
#CacarMonyet",Jangan lupa juga tetap jaga kesehatan dan pakai masker WingscareProtector momen Hari Kesehatan kali ini BersamaSalingJaga maskerearloop CacarMonyet,neutral
243,2022-11-12 04:20:05+00:00,@petanikopi63 Cacar monyet.,Cacar monyet,neutral
244,2022-11-11 11:13:07+00:00,@teuhun Iya itu dia lagi cacar monyet kak,Iya itu dia lagi cacar monyet kak,neutral
247,2022-11-10 09:12:01+00:00,@NgaKorMing LGBT bukan budaya kita. Malah ianya memberikan kemudaratan. Tidak cukup kah dengan Aids dan cacar monyet? Allah lwbih mengetahui mana yang lebih baik untuk umatnya.,LGBT bukan budaya kita Malah ianya memberikan kemudaratan Tidak cukup kah dengan Aids dan cacar monyet Allah lwbih mengetahui mana yang lebih baik untuk umatnya,neutral
249,2022-11-09 11:47:31+00:00,"@honeypblo @nocontextscats KOTOR DEVITA, KLO DIA KUTUAN PANUAN RABIES SCABIES CACAR AIR CACAR MONYET COVID GMN",KOTOR DEVITA KLO DIA KUTUAN PANUAN RABIES SCABIES CACAR AIR CACAR MONYET COVID GMN,neutral
258,2022-11-08 16:19:32+00:00,"@lockeyfess wah kacau, virus cacar monyet udh merajalela di weverse",wah kacau virus cacar monyet udh merajalela weverse,neutral
