Datetime,label,clean_text
2022-09-13 04:27:21+00:00,positive,what the result said normal bukannya cakap bisul cacar monyet cakap normal reveal details
2022-09-13 03:22:06+00:00,negative,ngambil hard disk flash disk sumpahin kena cacar monyet
2022-09-12 08:11:39+00:00,negative,cacar api kali nder apa yah namanya ituuu bukan cacar monyet etapi klo temennua kena cacar monyet yaa aja sih
2022-09-12 02:01:22+00:00,negative,kalo long tidak  men tag doakan kena cacar monyet
2022-09-12 02:00:20+00:00,negative,ngab kalo gak long terus gak tag gue doain kena cacar monyet
2022-09-08 13:35:16+00:00,positive,maguire mending kena cacar monyet gausa main
2022-09-08 09:47:58+00:00,negative,apasih ngebedain cacar monyet sama cacar chicken pox terus kalo seseorang udah pernah kena cacar monyet bisa terkena soalnya kalo cacar chicken pox kan cuma sekali seumur hidup
2022-09-07 07:14:47+00:00,positive,tawan serem emang hiv sama cacar monyet normal buat ihhhh takut
2022-09-06 15:03:00+00:00,positive,cacar monyet kebetulan bentuk love aja
2022-09-04 04:12:50+00:00,positive,udh covid cacar monyet aamin yaaa haha udh sayah undur terus
2022-09-03 22:53:53+00:00,negative,innalilahi innailaihi raji kaget banget denger sodaraku kena cacar monyet
2022-09-03 14:50:41+00:00,positive,anjrit cacar monyet real
2022-09-03 13:04:22+00:00,positive,siapa menabur angin menabur badai bermula covid lalu berbagai varian lalu cacar monyet lalu hiv alhamdulillah sekeluarga gak vaksin murni pure
2022-09-03 11:31:24+00:00,negative,kenaikan harga bbm penembakan brigadir kesehatan mental remaja cacar monyet
2022-09-03 10:06:15+00:00,positive,cacar monyet dicegah pake pakaian tertutup lengan panjang mengurangi kontak kulit pengidapnya itu minum vitamin penting biar daya tahan tubuh makin terjaga intinya perlu waspada mana itu amp stay safe
2022-09-02 09:54:57+00:00,negative,sesiapa boleh dijangkiti cacar monyet monkey pox mengira orientasi seksual sentiasa amalkan langkah disyorkan utk mengurangkan risiko dijangkiti penyakit please spread the words syg
2022-09-01 12:30:12+00:00,negative,kan udh stres banget mana kemaren cacar monyet pls udahan dong nah semoga diawal thn yaaa
2022-09-01 06:40:22+00:00,negative,duh takut cacar monyet
2022-08-31 09:39:04+00:00,negative,tiba tiba cacar monyet terus batal
2022-08-30 11:14:09+00:00,positive,han kalo hahaha takut cacar monyet ntar gak masuk sini bakalan diundur akhir tahun han
2022-08-30 09:17:37+00:00,positive,klo inginnya semua gay lgbt kena cacar monyet
2022-08-30 09:07:50+00:00,positive,ati ati lohh jaman sekarang ada penyakit baru lebih serem ciri2nya gampang dikenalin ati ati gua mikir keras penyakitnya apa musim skrg penyakit apa pak flu monyet cacar babi serem bapak dgrnya plis gua receh banget
2022-08-30 08:58:28+00:00,positive,klo mancsayagara inggris spanyol terkena virus monkey pox atahu cacar monyet kebanyakan kaum gay informasi bulan lewat medsos twitter juga kok guys mudah mudahan negeri tidak itu aamiin
2022-08-29 14:02:09+00:00,negative,gmna klo cacar monyet nular
2022-08-29 12:03:20+00:00,positive,pemikiran sempitku kali adalah orang kaya main luar negeri pulangnya bawa cacar monyet terus hhabis kira kira bakal disuruh vaksin buat cacar monyet
2022-08-29 03:55:52+00:00,negative,semoga hate komen kena cacar monyet
2022-08-29 03:22:54+00:00,positive,insayaws beritaterkini berita beritaviral insayawstv 2022 dailynews cacarmonyet cacar penyakit healt healthy kesehatan simak berita lainnya official jangan lupa follow media sosial untuk berita informasi lainnya
2022-08-29 02:03:44+00:00,positive,hahahahaha mak aku cakap penyakit cacar monyet
2022-08-28 16:21:54+00:00,positive,cacar monyet udah sampe bla bla bla and uses filter monyet dude you better stop you forangot ucapan doa
2022-08-28 13:13:36+00:00,negative,fine jalan sendiri mall sendiri belanja sendiri gara pandemi jadi ilfil tempat rame kadang pas udah sampe langsung abort abort abort terus sekarang wabah cacar monyet aku mau ugly soalnya jugan bikin tambah ugly
2022-08-28 10:30:26+00:00,positive,iya kalau cacar biasa gabakal kena tapi kalau cacar monyet tetep kena kalau ketularan stahu safe too
2022-08-28 07:16:43+00:00,negative,omg kayak sering rumah klo weekend kok baru tahu daerah kampung udah kena cacar monyet semua shit shit bahkan kena sekeluarga fishyyy that crepyyyyy semoga jauhkan virus penyakit lain aminnnn
2022-08-28 02:32:20+00:00,negative,entar kalo beneran kena cacar monyet nangis
2022-08-28 01:06:30+00:00,positive,orang2 kok sama semua waktu cerita temen soal cacar monyet malah ketawa ahahaha dikiranya jadi kaya monyet sia2 saya hampir sehari main twitter tahu semua virus2
2022-08-27 11:11:50+00:00,negative,positif rame skrng naon nder cacar monyet
2022-08-27 10:54:08+00:00,negative,pertengahan juli sakit demam infus vitamin dikira anak kantor kena cacar monyet grgr maksa masuk kantor akhir juli dpt kabar bikin drop down hancur seketika hampir kesrempet bis gede pdhl posisi udah minggir nyalip sedih tak berkesudahan
2022-08-27 09:54:49+00:00,positive,you pake filter buat lucu2an okay jangan ngajak cacar monyet nya buat ikut lucu2an bahkan buat gua ketawa
2022-08-27 09:23:43+00:00,negative,anggota komisi dpr rahmad handoyo memberikan tips tidak mudah terpapar virus cacar monyet monkey pox dengan cara berperilaku hidup bersih sehat salah satu cara efeltif tidak mudah terpapar virus cacar monyet
2022-08-27 06:30:42+00:00,negative,pernyataan mengada walaupun emang anak anak rentan kena cacar monyet harus lihat sisi jangan jangan cara pakai menghancurkan generasi dunia kedepan usia anak anak remaja dewasa jadi target monkey pox aids
2022-08-27 00:18:15+00:00,positive,ganteng ganteng kok jual diri sih mas hati hati kena hiv sama cacar monyet merambah kaum gay
2022-08-26 21:15:23+00:00,positive,gak ngerti kalo cacar monyet tuh keliatan fisiknya kan yah kulit nah beda covid keliatan penyakitnya masa ttp have sex sih sama orang kulitnya budukan gitu emg gak geli ihh cowok berdaki aja ilfeel akepalagi better run gak sih
2022-08-26 19:42:15+00:00,negative,matak cikal bakal cacar monyet
2022-08-26 16:14:39+00:00,positive,sangihe 2030 target zero aids udah berjalan pengobatannyapun udah berjalan pengidap virunya udah lama hidup normal belum stigmanya aja akibat jomplangnya literasi masyarakat kemungkinan aids bakal diganti cacar monyet penularannyapun sama
2022-08-26 14:06:53+00:00,positive,paket combo positive covid cacar monyet hiv bersamaan kira2 sdh vaksin covid blom
2022-08-26 13:58:37+00:00,negative,takut banget cacar monyet bakal meluas trus lockdown jangan sampeeee
2022-08-26 11:20:36+00:00,positive,punya mutualan seorang mantri ngeshare nya hiv cacar monyet terus ingin ngajakin buat fun terus haha giliran aku nolak malah ngambek
2022-08-26 08:57:41+00:00,negative,prasetiyo tebak skema ponzi sekarang tuh konspirasi dulu ama media utama ayok takuti masyarakat hiv cacar monyet corontol terus lama racun nya dateng customer masyarakat bloon kena doktrin indoktrinasi propaganda manggut kelar kelar plandemi bloonnya
2022-08-26 07:36:15+00:00,positive,serem banget temen nyokap bali udah kena cacar monyet stay safe everyone bentukannya serem gitu sih
2022-08-26 04:17:49+00:00,positive,terus idi cuma diem diem aja bukannya buat kanal informasi mengawal kewaspadaan publik cacar monyet bertindaklah real
2022-08-26 04:06:47+00:00,negative,fess cacar monyet teh kumha sih
2022-08-26 02:19:39+00:00,positive,pria usia tahun dki jakarta menjadi pasien pertama cacar monyet sembuh good news banget sih blistener morningvoice
2022-08-25 23:35:09+00:00,positive,cuan cuan cuan hari hiv lanjut cacar monyet vaksin nice try
2022-08-25 18:06:58+00:00,positive,saran aja mah buat kalian suka jajan cewe stop dulu hiv sama cacar monyet merebak banget khususnya area bandung rame banget kena jangan bobo sembarangan sekalipun mau begituan sama orang kalian yakin aman pakai kondom stay safe guys
2022-08-25 16:38:43+00:00,negative,medeni banget cacar monyet iki ambe ketok banget penyakit
2022-08-25 13:59:01+00:00,positive,allah gamau full offline bukannya cacar monyet nangisssss bangettt
2022-08-25 12:22:01+00:00,positive,setuju divaksin cacar monyet mengaku gay
2022-08-25 08:24:08+00:00,positive,wow covid hiv cacar monyet tumpang tindih penularan tercepat nya hub sexual
2022-08-25 06:54:08+00:00,negative,askrl guys kemaren lingkunganku sakit cacar terus katanya cacar monyet udah nular cucunya nenekku sempet jenguk sekarang lagi demam gimana penanganannya aku belom berani nyamperin
2022-08-25 06:51:47+00:00,negative,takut covid cacar monyet rasanya jauh darikata kelar muncul
2022-08-25 06:05:38+00:00,negative,boii lah rehat vakum puasa dulu malu yaawlo hiv cacar monyet naik masih aja make sana make sono make sini tobat boii kasian anak orang wkwkwk
2022-08-25 05:12:36+00:00,positive,live wawancara sekretaris direktorat jenderal ditjen kesehatan masyarakat kemenkes siti nadia tarmizi terkait kondisi pasien cacar monyet indonesia membaik selengkapnya dengarkan 8fm rrinet amp rri playgo amd
2022-08-24 14:27:18+00:00,positive,tusuk jarum bekas pasien positif cacar monyet pls
2022-08-24 13:15:04+00:00,positive,inini awal mula nya cacar monyet kannn gara2 gay
2022-08-24 12:40:22+00:00,negative,dita karang mau dijadikan duta duta apa duta bilateral indonesia korea auto kejang monkey kena cacar monyet
2022-08-24 12:20:20+00:00,negative,duh corona blm selesai skrg cacar monyet masak fuvaksin
2022-08-24 09:51:57+00:00,positive,aku kira cacar monyet cuma nyerang gay
2022-08-24 09:26:13+00:00,negative,july bahas cacar monyet ded
2022-08-24 07:07:01+00:00,negative,covid dihadapkan dengan ancaman monkey pox cacar monyet nih nilai semangat gotongroyong udh jadi kunci utama buat hadapi beragam tantangan depan yuk bangkitbersama bpip
2022-08-24 05:16:11+00:00,negative,biar ugly gejala lgsg ditangani cek akun dokter indro ada obat oles dibikin sendiri kok buat cacar monyet jan panik jugaa imunitas rajin berjemur biar kulitnya sehat
2022-08-24 04:36:32+00:00,positive,ditunggu kabar kena monkeypox cacar monyet nya biar cengcengin gay
2022-08-24 02:15:41+00:00,negative,gue gaada cacar monyet aje jelek
2022-08-24 01:42:55+00:00,negative,ogah aku vaksin keempat blm mau vaksin cacar monyet katanya sdng dlm pengembangan mau kapan
2022-08-23 22:41:41+00:00,negative,makin bingung nghabisin 72juta dosis fucksin makin brutal ampe anak bawah usia taon bakalan dijab mungkin ada monkeypox drama plandemi bakalan berlanjut terus jab kopit jab cacar monyet
2022-08-23 12:44:27+00:00,positive,lhaa klu mau cacar monyet menyebar lakukan antisipasi buat action jugan sok sok pandemi corona kmrn
2022-08-23 11:58:34+00:00,negative,usah kena cacar monyet kecil saya udah ugly but survive
2022-08-23 11:09:40+00:00,positive,percuma good looking kalo mati kena cacar monyet slebeeew
2022-08-23 10:42:07+00:00,negative,bukannya udah kasus kematian gara gara cacar monyet
2022-08-23 10:29:54+00:00,positive,wow cacar monyet disini
2022-08-23 10:27:17+00:00,positive,kesimpulan cacar monyet adalah homosex kaum gay menderita semua orang kyak kata ustad maksiat eluu homo elu sex bebas elu kena azab kitee semua badjingan
2022-08-23 09:48:46+00:00,positive,gimana mau kena cacar monyet orang temen pada anjing sama babi semua wkwkwk
2022-08-23 09:29:06+00:00,negative,cacar monyet covid seluruh dunia sudah sini beritanya wtf cacar monyet bukan penyakit utama diderita banyak orang agendanya menyuntik racun bernama vaksin berapa korbannya termasuk depopulasi
2022-08-23 09:12:29+00:00,positive,cacar monyet udah masuk indonesia pak jokowi prepare buat vaksin habis gini vaksin dudududu
2022-08-23 09:08:28+00:00,positive,covid soal nya masi tinggi terus cacar monyet udh nyampe indonesia gak lama bakal dulu pjj srnua
2022-08-23 08:44:42+00:00,negative,terkena cacar monyet aku tetap ugly pak menkes
2022-08-23 07:44:54+00:00,positive,ready ikan guppy ikan hias lainnya menemani gabutmu rumah selama masa pandemi cacar monyet
2022-08-23 05:48:17+00:00,positive,barusan gugel cacar monyet geli liatnya jadi merinding
2022-08-23 05:23:22+00:00,negative,sayah aja gitu bilang you look ugly definetly but you survive definisi survive harusnya jangan sampe kena cacar monyet baru survive
2022-08-23 05:16:38+00:00,positive,cacar monyet pls kind gwudah jelek masa tega bikin makin jelek
2022-08-23 04:08:31+00:00,positive,kalau buat pak menteri gak penting cacar monyet atahu cacar air cacar monyet masuk air boleh namanya orang punya kuasa bicara hahahaha
2022-08-23 03:35:45+00:00,positive,pak lakukan aksi lebih nyata buat kanal informasi terkait perkembangan cacar monyet berapa kasus suspect berapa kasus probable berapa kasus confirmed jangan kecolongan kecolongan covid tahun kemarin pak
2022-08-23 03:22:47+00:00,negative,menkes soal aku ngaca cacar monyet tiap pagi you look ugly but you survive
2022-08-23 00:33:34+00:00,positive,kemarin aku melihat informasi one jakarta orang terkena virus monkeypox atahu cacar monyet klo inggris spanyol bln lewat terkena monkeypox pada umumnya kaum gay makanya kubilang lgbt merusak physic moral anak bangsa guys
2022-08-23 00:32:35+00:00,positive,garap pmi bangli malah running orang ledakan kompor cacar monyet hari mau garap kenaikan bbm sampe aja nyuri ide
2022-08-22 23:27:02+00:00,negative,cacarmonyet
2022-08-22 22:50:18+00:00,positive,cacar monyet plis banget mah jangan jadi epidemi dulu indonesia mau balik bandung yogya sama main pulau
2022-08-22 22:40:05+00:00,positive,setahu aku iyaa dulu dokternya nyebut nya gitu cacar monyet atahu cacar api hahaha knp meninggal bikin lingkaran doang
2022-08-22 16:15:01+00:00,positive,more option for online school misalnya aku kena covid cacar monyet padahal fit belajar gejala parah supposed miss materi sekolah selama minggu
2022-08-22 15:38:23+00:00,positive,ayoo kapan kitaaaa candacanda doakeun aja cacar monyet jadi pandemi nyampek iya pending sudahh
2022-08-22 14:27:32+00:00,positive,apalg skrg rumornya cacar monyet penyebabnya orang gay kan
2022-08-22 13:32:22+00:00,positive,funfact alumni cacar monyet wkwkwk kena cacar monyet pas kelas dulu hahahaha
2022-08-22 13:22:30+00:00,negative,gak perlu kenalan sama cacar monyet gak keuntungan berdampak buat kesehatan mental kadang lebih baik gal kenal gak perlu cari tahu kenal tahu malah penyakitan serba agnation anseitas
2022-08-22 13:00:20+00:00,positive,lebih linu sihh kalo garuk sayah nya kalo gatel tetep ngerasain gatel cuma busa garuk doang cacar monyet nular pdhl tth adik mamah always deket aku terus malahan mamah tidur bareng
2022-08-22 12:31:19+00:00,negative,cacar monyet serem banget
2022-08-22 12:20:49+00:00,positive,last but not least gak kalah pentingnya jangan kontak fisik orang terinfeksi atahu barang barang terkontaminasi kayak tempat tidur atahu pakaian sudah dipakai pengidapnya stay safe semuanya cacarmonyet monkeypox monkeypoxvirus
2022-08-22 12:18:37+00:00,negative,duh gua mau maksiat keinget virus cacar monyet anjing
2022-08-22 11:53:58+00:00,positive,el31 kan emang penyakit lama terus muncul mulai heboh negara2 maju belum pernah ngalamin makanya heboh banget ditambah kena hampir gay mereka cacar monyet tuh berasa dikasih gempa cuma menurutku bikin jadi perhatian khusus
2022-08-22 11:12:55+00:00,positive,ancaman serius banyak negara dunia korupsi nyata merugikan bangsa negara gempa kenceng twitter please your magic cacarmonyet jaga persatuan bangsa satria indonesia sinergimerahputih
2022-08-22 11:12:24+00:00,negative,allah semoga cacar monyet menyebar luas semoga pasien kena kemarin sembuh sempet menular siapa siapa huhuhuuu
2022-08-22 10:53:29+00:00,negative,jujur aku takut kena cacar monyet
2022-08-22 10:36:52+00:00,positive,aku aman aku jabodetabek soalnya tetep stay safe kabar cacar monyet udah masuk indo kan sehat selalu
2022-08-22 10:18:53+00:00,positive,sekarang cacar monyet pertanda buat dalgona kopi full rumah online
2022-08-22 10:09:10+00:00,positive,welcome sarjana cacar monyet
2022-08-22 09:22:51+00:00,positive,jangan sampe new channel slack cacarmonyet updates
2022-08-22 08:52:53+00:00,positive,biloto kelor kunyit terbukti membantu mencegah virus masuk kedalam tubuh dapat menjaga daya tahan tubuh segera stock beli eccomerce kesayangan kamu atahu cek link bio cacarmonyet virus monkeypox
2022-08-22 06:55:13+00:00,positive,zubairi djoerban menyampaikan cacar monyet menular melalui sexual contact pernapasan sentuhan kulit luka penularan terbanyak melalui sexual contact
2022-08-22 06:54:36+00:00,positive,live wawancara pakar ikatan dokter indonesia idi prof zubairi djoerban terkait tingkatkan kewaspadaan cacar monyet fasilitas kesehatan selengkapnya dengarkan 8fm rrinet amp rri playgo amd
2022-08-22 06:24:24+00:00,positive,cacar monyet diem deh jugan berulah gua mau happy besok gua udh mulai profesi jauh2 pls
2022-08-22 06:14:00+00:00,positive,covid skrg cacar monyet gini masa dewasa
2022-08-22 04:13:13+00:00,positive,cacar monyet ngeri btul dah sampe jkt dejavu pas covid gua hahahihi tiba2 denger kabar djkt dah kena lama sekolah libur minggu
2022-08-22 04:05:20+00:00,negative,cacar monyet minangka penyakit zoonosis sing tegese ditularake saka kewan menyang manungsa wiwitsaya cacar monyet minangka penyakit endemik ing alas udan tropis ing afrika tengah lan kulon
2022-08-22 02:39:19+00:00,positive,excited takut cacar monyet
2022-08-22 02:10:53+00:00,negative,barusan liat base anak cacar monyet ternyata nyampe dubur penis sama mulut fotonya triggering banget takut
2022-08-22 00:14:01+00:00,positive,belakangan meresahkan demi social activisama amp political correctness menutup nutupi fakta cacar monyet penyakit seksual menular berasal komunitas lagibete berbahaya buat sendiri seharusnya dilindungi melalui edukasi
2022-08-21 23:24:53+00:00,negative,sama covid aja udh ngeri akepalagi cacar monyet astaga
2022-08-21 18:10:57+00:00,negative,entah lah liat penjelasan soal monkey pox pengidap herpes cacar monyet keliatan aja outputnya sama2 cacar cara penularan mirip tahun punya herpes gua gak pernah nularin orang terdekat tuh
2022-08-21 16:13:31+00:00,positive,cacar monyet bakal jadi alesan kuliah online gak prefer hybrid sih gamau full offline takut boros
2022-08-21 14:46:17+00:00,positive,executive general manager bandara sultan syarif kasim ssk pekanbaru muhammad hendra irawan menyebut untuk antisipasi cacar monyet bandara melakukan sosialisasi
2022-08-21 14:27:20+00:00,positive,night guys stay safe cacar monyet udah cukup monyetnya jangan nambah cacarnya
2022-08-21 14:04:09+00:00,negative,kebanyakan kasus lesi muncul pertama kali wajah baru kemudian nyebar area itu bukan pola mutlak artinya lesi saja muncul pertama kali tangan kaki alat kelamin maupun anus bahkan lesi cacar monyet ada area mata
2022-08-21 12:40:15+00:00,negative,sudah vaksin cacar monyet wtf question
2022-08-21 12:30:45+00:00,positive,cacar monyet meraba indonesia farmasi sing dodol obat kulit
2022-08-21 11:19:45+00:00,positive,beneran cacar monyet teh ihh stay safe yaa semua
2022-08-21 10:38:00+00:00,negative,cacar monyet horrible ntah kebrp kali
2022-08-21 10:25:02+00:00,positive,kenapsi cacar monyet awal mulanya manaa main monyet kahh
2022-08-21 09:54:15+00:00,positive,cacar monyet kebanyakan pasangan gay jugan tanya mana buktinya cari sendiri jaminan apa semua akan tertular
2022-08-21 08:49:02+00:00,positive,dildo apa hubungan nya sama negara cacar monyet awalnya afrika lha sendirinya tahu darimana cacar monyet awalnya orang gay jugan sok tahu
2022-08-21 08:45:00+00:00,positive,kok fakta penyintas cacar monyet eropa sana gay bisexual dinaikkin
2022-08-21 08:43:42+00:00,positive,aku pribadi emang homopobic kok lingkungan kerjaku orang gay ketika kasus cacar monyet disebabkan gara2 swedia waktu mereka mandi bareng orangy tempat pemandian nah kayaknya mulai jarak sih
2022-08-21 07:56:12+00:00,positive,yeah sorry dont want have your monkeypox diasase lgbt pada bawa penyakit semua hiv cacar monyet belum masalah moral seorang gay menyetubuhi 500an orang kurun waktu setahun pula kaum gay ngurus anak lebih parah itu
2022-08-21 07:33:15+00:00,positive,live wawancara anggota komisi dpr rahmad handoyo terkait waspada meningkatnya kasus cacar monyet indonesia selengkapnya dengarkan 8fm rrinet amp rri playgo amd
2022-08-21 07:31:21+00:00,positive,cacar monyet menular melalui kontak langsung sexual contact masa inkubasi virus cacar monyet hari biasanya masa akan terjadi demam panas sakit kekepala tenggorokan untuk medeteksi pasti dilakukan pcr
2022-08-21 07:16:58+00:00,positive,live wawancara guru besar fakultas kedokteran hewan ugm prof drh wayan tunas artama terkait waspada meningkatnya kasus cacar monyet indonesia selengkapnya dengarkan 8fm rrinet amp rri playgo amd
2022-08-21 07:10:26+00:00,positive,udah banyak meninggal gara gara virus cacar monyet
2022-08-21 06:26:09+00:00,negative,1501 monyet kok cacar jhahahaha akan nurut sama agenda menyesatkan bisnis obat syetan terus rakyat jdi korban fuck
2022-08-21 06:14:50+00:00,positive,2tahun kurang lebihnya ngurangi aktivitas luar rumah beberapa bulan aktivitas mulai normal kayak kena pandemi badan kerasa lebih capek dateng berita cacar monyet online
2022-08-21 06:12:34+00:00,positive,sejujurnya ngeri cacar monyet selain penyakitnya stigma menyertainya udah nyebar berita penderita cacar monyet mostly pria homoseksual covid gimana2 aja banyak banget takut ngaku sakit akepalagi cacar monyet disertai stigma macem2
2022-08-21 05:42:13+00:00,positive,belakangan meresahkan demi social activisama amp political correctness menutup nutupi fakta cacar monyet penyakit seksual menular berasal komunitas lagibete berbahaya buat sendiri seharusnya dilindungi melalui edukasi
2022-08-21 04:52:27+00:00,negative,sori sok open minded hasilnya penyebaran cacar monyet not worth
2022-08-21 04:13:15+00:00,positive,tuhan mudah mudahan kena cacar monyet cuma kamu kaum kaya gini jangan normal
2022-08-21 02:10:40+00:00,positive,are ready guys udah sakit cacar mirip kayak monyet
2022-08-21 01:51:13+00:00,negative,apapunn takut banget wabah cacar monyet jangan sampe yaallah
2022-08-21 00:50:42+00:00,positive,banyak pihak mencoba menutupi fakta cacar monyet penyakit menular seksual utamanya lelaki berhubungan intim sesama lelaki atahu biseksual padahal riset thornhill dkk new england journal medicine riset tarin vicente dkk lancet membuktikan
2022-08-20 23:49:40+00:00,positive,main jauh mulu takut cacar monyet apa
2022-08-20 23:45:48+00:00,positive,cacar monyet nyebar nya orang2 gay gonta ganti pasangan berhubungan proteksi mirip kyk hiv aids klo gay aman2 aja
2022-08-20 23:39:48+00:00,negative,cacar monyet covid diem dulu atulah pergi jauh liat tubatu indooo
