,Datetime,clean_text,label
101,2022-11-30 00:38:01+00:00,dokter kan pinter kenapa gak ibu aja yang musnahkan cacar monyet biar dokter tifa jadi orang dunia yang telah berhasil memusnahkan cacar monyet woow kereeennn,neutral
103,2022-11-29 23:38:53+00:00,sulaeman udah ngecek juga ngk berapa banyak wanita hancur karena ngikutin budaya barat tau ngk penyakit mematikan cacar monyet penyebab utamnya dari mana,neutral
104,2022-11-29 22:46:33+00:00,Cacar monyet punya stigma negatif dari masyarakat bagi para pelaku homo lesbi tertular Cacar monyet mayoritas idap pelaku homo lesbi Istilah lgbt utk mengubah stigma negatif dari nama sbenarnya yaitu homo lesbi Kasian klo diluar kaum lgbt tertular dan kena cap,neutral
105,2022-11-29 15:54:48+00:00,Cacar monyet flu babi anjing kapan kebagiannya,neutral
112,2022-11-29 12:39:10+00:00,Cacar Monyet Tukar Nama Sebagai MPox,neutral
114,2022-11-29 12:33:28+00:00,Cacar monyet namanya diubah dari monkeypox jadi mpox mungkin terinspirasi dari panggilan kakak perempuan betawi,neutral
125,2022-11-29 09:29:51+00:00,Cacar monyet ganti nama Dari Monkeypox jadi Mpox,neutral
129,2022-11-29 08:57:15+00:00,Kedua nama tersebut akan digunakan secara bersamaan selama satu tahun Dan setelahnya nama cacar monyet dihapus demikian dikatakan WHO dalam sebuah pernyataan,neutral
163,2022-11-28 14:43:28+00:00,baca jurnal study case penyakit cacar monyet,neutral
170,2022-11-28 07:48:56+00:00,tyy Cacar monyet,neutral
171,2022-11-28 06:26:35+00:00,didu lah negara demokrasi kok larang larang urus dulu tuh kipi vaksin gagal ginjal proyek global cacar monyet gagal Masyarakat udh mau takut2in,neutral
173,2022-11-27 17:38:52+00:00,tau cacar monyet biang keladi nya siapa,neutral
174,2022-11-26 14:26:09+00:00,Haha susah bgt ngilangin trauma nya bojo ngajak anak Playground Karena kemaren sebelum lebaran anak aku ajak ayahnya main Playground terus besoknya sakit cacar monyet flu Singapura atau apalah Sampek sekarang kapok bgt ayah nya pan kasian anak nye dirumah mulu,positive
175,2022-11-26 12:44:23+00:00,Lgbt kaum cacar monyet penyebar penyakit Orang tua aja mau ngakuin anaknya perjuangin penyebaran penyakit,neutral
176,2022-11-26 10:38:01+00:00,kena asma Mau nanya itu cacar aer apa cacar monyet,neutral
177,2022-11-25 22:52:57+00:00,Saya cinta jadi homophobic daripada nanti saya kena HIV dan cacar monyet Terima kasih Lebih baik jadi LGBT Lelaki Gagah Bini Tjantik,neutral
178,2022-11-25 22:47:07+00:00,Saya cinta jadi homophobic daripada nanti saya kena HIV dan cacar monyet Weii LGBT kalian gak capek apa Bikin gaduh terus Kalian itu sudah jadi musuh seluruh negara Bahkan dan aja lagi pada krisis itu kalau gak gender kayak yang ini pasti ekonomi,neutral
179,2022-11-25 17:11:10+00:00,Pas breakout mukamu knapa Kena cacar monyet ucap ibu2 tingginya hanya semeter Pas diajak main teman Alah namaku paling duitnya cmn serebu ucap ponakan bupati sampe skrg aku mau liat mukanya,positive
181,2022-11-25 01:34:36+00:00,Cacar monyet,neutral
182,2022-11-24 14:10:28+00:00,yah Asih Polri Kyknya doi mesti klarifikasi kalo itu bukan koreng Bisa cacar monyet,neutral
183,2022-11-24 08:44:00+00:00,Cacar monyet,neutral
184,2022-11-24 01:20:17+00:00,gak ada hubungannya pekerja konstruksi mati sama LGBTQ ada cacar monyet,neutral
191,2022-11-23 08:32:43+00:00,Cacar monyet tapi colorful dong mba,positive
193,2022-11-23 05:52:08+00:00,tar gue kena cacar monyet zen deket2,neutral
194,2022-11-22 15:51:55+00:00,fix cacar monyet,neutral
195,2022-11-22 12:57:04+00:00,gejala awal cacar monyet ini hayo,neutral
196,2022-11-22 11:15:35+00:00,AREMA021 Bodoh jng dipamerin hei LGBTQ mania goblok pro LGBTQ bahlul udah ada penyakit HIV hingga cacar monyet heran otak gak terbuka apa perlu kena HIV hingga cacar monyet dulu baru berubah,neutral
197,2022-11-22 11:14:45+00:00,AREMA021 goblok pro LGBTQ bahlul udah ada penyakit HIV hingga cacar monyet heran otak gak terbuka apa perlu kena HIV hingga cacar monyet dulu baru berubah,neutral
198,2022-11-22 11:13:35+00:00,AREMA021 goblok pro LGBTQ bahlul udah ada penyakit HIV hingga cacar monyet heran otak gak terbuka apa perlu kena HIV hingga cacar monyet dulu baru berubah,neutral
199,2022-11-22 11:13:26+00:00,one AREMA021 goblok pro LGBTQ bahlul udah ada penyakit HIV hingga cacar monyet heran otak gak terbuka apa perlu kena HIV hingga cacar monyet dulu baru berubah,neutral
200,2022-11-22 11:13:15+00:00,AREMA021 goblok pro LGBTQ bahlul udah ada penyakit HIV hingga cacar monyet heran otak gak terbuka apa perlu kena HIV hingga cacar monyet dulu baru berubah,neutral
201,2022-11-22 10:34:46+00:00,ADjem Gak plus cacar monyet sekalian,neutral
202,2022-11-22 04:00:07+00:00,rpw awas kena cacar monyet,neutral
203,2022-11-22 02:50:14+00:00,Itu bukannya kaya cacar monyet,neutral
205,2022-11-21 20:14:59+00:00,rpw Awas kenak cacar monyet krna keseringan tusbol,neutral
206,2022-11-21 16:56:15+00:00,Dok dulu pernah ada cacar air Itu virus gak pake booster booster sampe sekarang hilang kenapa Cacar monyet kemana sekarang Terus virus mana lebih mudah bermutasi Apa sebabnya berbeda dengan virus cacar air anjing gila hiv ebola,neutral
208,2022-11-20 17:13:25+00:00,Mungkin anda tidak ada agama bahkan beberapa negara melarang LGBT Karena ada kasus cacar monyet bukan kah itu ilmu biologi agama juga ajari ilmu biologi kok larang agama berarti tidak baik untuk keseluruhan coba pelajari lagi jangan asal ngomong aja,neutral
210,2022-11-20 13:22:03+00:00,Beda kasus dilihat itu dampaknya untuk orang bayak Secara ilmiah pun terbukti bahkan menurut lembaga kesehatan amerika juga byk lgbt bahwa lgbt ini membawa penyakit Ngeri dan kbykn kya kmu kaum LSL cacar monyet amerika adalah lelaki gay FAKTA,positive
211,2022-11-20 13:04:27+00:00,Faktanya lgbt membawa penyakit HIV AIDS pertama dunia dari laki gay cacar monyet dari kaum lgbt mau ngebantah lagi maho,positive
212,2022-11-19 13:11:05+00:00,Dah coved dan flu singapur dah cacar monyet dah gagal ginjal akut sekarang polio Allahuakbar,neutral
213,2022-11-19 12:00:32+00:00,Cacar monyet,neutral
214,2022-11-17 09:56:16+00:00,Barkui keno cacar monyet,neutral
216,2022-11-17 06:17:04+00:00,Carnyet Cacar monyet,neutral
221,2022-11-15 19:41:34+00:00,Nabi Muhammad SAW menunggu telaga kausar dengan wajah putih bersih bersinar jangan datang dengan wajah menghitam mata kuning2 Itu wajah memalukan Wahai Umatku Aplg wajah penuh cacar monyet Jangan Permalukan aku hadapan umatnya musa ibrahim isa dll,neutral
223,2022-11-15 09:15:07+00:00,Katanya pihak bintang ungunya tidak bisa dihubungi atau susah dihubungi padahal jelas jelas sudah dikasih rek kepala sekolahnya Beralasan sakit cacar monyet tidak bisa keluar rumah untuk suami gila mau diceraikan alasan anaknya sakit dll,neutral
225,2022-11-15 05:44:50+00:00,Gpp emut aja biar bgian monyet juga kan wkwk cacar monyet,neutral
226,2022-11-15 03:37:24+00:00,Cacar monyet,neutral
229,2022-11-14 17:25:39+00:00,Cacar monyet,neutral
230,2022-11-14 11:56:51+00:00,klaten cacar monyet nek iki,neutral
234,2022-11-14 04:26:50+00:00,Kenapa monkey pox cacar monyet tapi chicken pox cacar air Indonesia explain,negative
235,2022-11-14 01:13:42+00:00,Bawa dia menuju lebih baik haram haram Selain agama ada sisi kesehatan juga cacar monyet Salah satu akibatnya kan,neutral
236,2022-11-14 00:49:17+00:00,Pertama kali ditemukan pada tahun 1958 State Serum Institute Copenhagen Denmark ketika ada kasus mirip cacar yang diderita sekelompok kera untuk penelitian laboratorium sehingga kemudian cacar ini dinamakan monkey pox atau cacar monyet,negative
238,2022-11-13 09:18:45+00:00,gosah terakhir berencana malah covid mau cacar monyet jadi pandemi,neutral
239,2022-11-13 07:10:47+00:00,Lah gue kirain dah mati kena cacar monyet penyakit menular seksual loh Kenapa Panas Kebakar Buang waktu Jilat dulu ludah sendiri itu wahai kaum sodom,neutral
240,2022-11-13 05:50:25+00:00,Kenapa gitu Tiby ada cacar monyet kah,neutral
241,2022-11-13 01:11:17+00:00,Hati hati bang mbak kena cacar monyet dan HIV AIDS serta penyakit menular seksual lainnya nanti dah kena kora kora ngamuk karena merasa dikucilkan bener nggak,neutral
242,2022-11-12 10:34:14+00:00,Jangan lupa juga tetap jaga kesehatan dan pakai masker WingscareProtector momen Hari Kesehatan kali ini BersamaSalingJaga maskerearloop CacarMonyet,neutral
243,2022-11-12 04:20:05+00:00,Cacar monyet,neutral
244,2022-11-11 11:13:07+00:00,Iya itu dia lagi cacar monyet kak,neutral
247,2022-11-10 09:12:01+00:00,LGBT bukan budaya kita Malah ianya memberikan kemudaratan Tidak cukup kah dengan Aids dan cacar monyet Allah lwbih mengetahui mana yang lebih baik untuk umatnya,neutral
249,2022-11-09 11:47:31+00:00,KOTOR DEVITA KLO DIA KUTUAN PANUAN RABIES SCABIES CACAR AIR CACAR MONYET COVID GMN,neutral
258,2022-11-08 16:19:32+00:00,wah kacau virus cacar monyet udh merajalela weverse,neutral
260,2022-11-08 06:26:24+00:00,Indonesia mengirim bantuan kondom gratis agar para gay tidak terpapar cacar monyet,positive
262,2022-11-07 17:17:45+00:00,Ada cacar monyet ada pacar kek monyet Ada aja memang,neutral
264,2022-11-07 11:36:02+00:00,tawan Ngga kalo kita ngga maen pantat sori agak diriset aids sama cacar monyet padahal pake oengaman juga lagian lubang taik ngga lah hahaha,positive
265,2022-11-07 10:01:28+00:00,Cacar monyet,neutral
266,2022-11-07 06:18:53+00:00,Bemer banget ponakanku abis vaksin kena cacar monyet sejak itu nggak pernah fit mudah lelah,positive
267,2022-11-07 03:50:32+00:00,ayo buzer jongos komunis mumpung masih ada waktu teruslah menggonggong sebelum virus cacar monyet perusak masyarakat seperti kalian ini dimusnahkan,neutral
268,2022-11-07 01:54:29+00:00,Itu cacar monyet wkwkw,neutral
273,2022-11-05 10:52:58+00:00,Apalagi dah cacar monyet gagal ginjal akut covid varian baru Lelah akutuh,neutral
274,2022-11-05 05:47:40+00:00,cacar monyet ril,neutral
278,2022-11-04 15:43:35+00:00,seru juga ini liat pertengkaran sasaran empuk cacar monyet dimari,neutral
282,2022-11-04 03:51:08+00:00,hiv pertama kali temukan taun 1981 kaum lgbt data terbaru cacar monyet ditemukan pertama kali amerika pada kaum lgbt juga jenis2 penyakit kelamin baru ditemukan pada kaum2 Homo coba tonton podcastnya inong fakta dari inong adl data internasiona,neutral
284,2022-11-03 17:03:54+00:00,cacar monyet,neutral
285,2022-11-03 16:59:40+00:00,apakah ini cacar monyet,neutral
300,2022-11-03 01:49:24+00:00,Positip arep cacar monyet nogo biawak penyebabe tetep siji aduse kurang resik,neutral
301,2022-11-03 01:42:24+00:00,Koncoku Wes podo tak kandani Sejak Augustus udh tren Naik Dan cacar monyet juga makin Banyak Tpi berita nya masuk highlight malah Sama sambo,neutral
302,2022-11-03 01:06:56+00:00,ponakan aku kena cacar monyet,neutral
308,2022-11-02 09:39:53+00:00,HIV dan Cacar Monyet buktinya,neutral
309,2022-11-02 00:54:24+00:00,Suaralu menggangu dan amat merugikan orang lain Apalagi pnyakit timbulin cacar monyet,neutral
310,2022-11-01 13:38:49+00:00,Contoh cacar monyet yaaa,neutral
311,2022-11-01 11:48:48+00:00,itu point nya Masa kita harus mewajarkan orientasi menyimpang sadar banyak penyakit timbuk akibat itu contoh sederhanaya cacar monyet,neutral
312,2022-11-01 09:23:42+00:00,Cacar monyet koyoke lek iki coba periksa nang dokter,neutral
321,2022-10-31 11:21:09+00:00,roxi Bukan diabetes bro Cacar monyet itu,neutral
323,2022-10-31 08:36:27+00:00,Cacar monyet,neutral
325,2022-10-31 06:26:12+00:00,Kau pun kene tahu LGBT movement haram dkt Malaysia sbb bercanggah dgn majority rakyat Malaysia Diorang mmg bawak penyakit lg2 cacar monyet,neutral
331,2022-10-31 02:03:33+00:00,Hahahaha ngapain kena cacar monyet maennya bersih kok Elu beneran tolol sih even HIV disebut penyakit kutukan kaum homo aja gak semua homo kena banyak kena ibu tuh suaminya suka jajan lonte wkwkwk,positive
332,2022-10-31 01:39:57+00:00,Dildo mksudnye elo wahai pecinta bool tobatr ntr kena cacar monyet nyaho,neutral
333,2022-10-30 17:06:42+00:00,Cacar monyet,neutral
334,2022-10-30 17:06:14+00:00,Aji bibir kena cacar monyet,neutral
336,2022-10-30 13:52:27+00:00,hbs kena cacar monyet,neutral
337,2022-10-30 09:25:22+00:00,KENA CACAR MONYET KAH,neutral
338,2022-10-30 08:59:53+00:00,kena cacar monyet nih,neutral
339,2022-10-30 01:25:36+00:00,Sampe kiamat prank covid sama Cina dan Ayo vaksin Habis APBN untuk vaksin Bill Gates kaya Elo pada sakit jantung gagal ginjal cacar monyet HIV,neutral
340,2022-10-29 19:36:40+00:00,cacar ketularan dia dan dia gak minta maaf samsek Dan pada saat dia udh cacar dan posisinya tau dia masuk kantor pas dia gamasuk trs ditanya tmn gue baru dia blg kan Dengan oentengnya dia ngmg kirain udh kena makanya santai aja monyet,neutral
341,2022-10-29 17:36:54+00:00,Itu ada bintik bintik kamera nya kena cacar monyet,neutral
342,2022-10-29 13:17:21+00:00,sama aja cacar monyet monkey pox terserah dokter mana IGD sekalian aja biar bisa langsung disuruh test lab lokasi,negative
343,2022-10-29 12:59:03+00:00,sorry nih bukannya monkey pox itu bahasa inggrisnya cacar monyet yah,negative
344,2022-10-29 10:36:01+00:00,cacar monyet,neutral
345,2022-10-29 10:20:45+00:00,tandatanda cacar monyet,neutral
346,2022-10-29 09:55:33+00:00,Sumpah dokter deh ngeri aja itu cacar monyet,neutral
347,2022-10-29 09:49:21+00:00,dokter takutnya cacar monyet kmrn rame tuh,neutral
349,2022-10-29 07:03:21+00:00,Pov waspada cacar monyet,neutral
350,2022-10-29 04:18:06+00:00,Cacar monyet gagal viral baliknya covid lagi,neutral
351,2022-10-29 02:28:34+00:00,Hayooolooo Tanda2 cacar monyet iniii segera dokter biar lingkungan terdekat kena jugaa,neutral
352,2022-10-29 01:56:26+00:00,cacar monyet pernah viral kan aku gatau sih publik ramenya karena apa waktu itu cuma pas abis tau dari Inong kebanyakan cacar air itu berasal dari lsl juga innalillahi allah,neutral
353,2022-10-29 01:47:19+00:00,Cacar monyet gmana kabarnya Kagak laku Masyarakat udah bisa ditakut takuti lagi wkwkwkwk mamam tuh hoax,neutral
355,2022-10-28 18:33:00+00:00,Semoga kena cacar monyet kalian,neutral
356,2022-10-28 13:49:19+00:00,Gua ngerasain cacar monyet,neutral
364,2022-10-27 19:30:41+00:00,cacar monyet bkn sii,neutral
366,2022-10-27 11:48:33+00:00,Kemarin musim cacar monyet malah sekarang monyet aslinya,neutral
367,2022-10-27 10:38:54+00:00,cacar monyet kak,neutral
368,2022-10-27 10:00:54+00:00,seriously kemaren lagi jogja ada cacar monyet lagi bandung tbtb ada hiv lagi semarang ada ini beruntung bgt nih meulidya,negative
369,2022-10-27 08:32:59+00:00,Tattoo cacar monyet yan,neutral
378,2022-10-27 01:43:03+00:00,Cacar monyet,neutral
379,2022-10-27 01:23:25+00:00,deva 2nd KadrunEr ra2 ferdysambo anomali Eri diajengemy karyo nusantara Wijoyo christing Cacar monyet cacat logika Ngambil contoh dari pemerintahan berbasis syiah Selalu menggonggong dng kata memaksa memaksa tapi tau makna luas kata memaksa itu Dsr sinting,neutral
381,2022-10-26 07:19:24+00:00,Cacar monyet mungkin,neutral
385,2022-10-26 00:24:36+00:00,Dokter indo kalo speak malah dibully dibilang mengidap gangguan jiwa Misal Lois Sekarang lahir hepatitis akut misterius cacar monyet gagal jantung akut gagal ginjal akut misterius Dan insya Allah kedepannya akan ada lagi akut misterius Lainny Wallahu laam,neutral
386,2022-10-25 23:17:09+00:00,Vaksin cacar monyet nih yang beloman,neutral
387,2022-10-25 16:42:50+00:00,Apakah Organisasi kesehatan berani menangkap orang yang tahu soal akan terjadi Covid dan Vaksin pada tahun 2019 dia katakan thn 2015 dan thn 2021 terjadi cacar monyet jangan karena pengusaha tsb memberikan dana malah tidak berani bertindak Karena uang semuanya dihalalkan,neutral
388,2022-10-25 11:48:38+00:00,Bang rigen pernah kelilipan cacar monyet,neutral
389,2022-10-25 11:39:39+00:00,Gue jadi penasaran monyet pernah kena cacar monyet ngga,neutral
390,2022-10-25 10:26:56+00:00,tiana1 mirip mirip cacar monyet tan,neutral
397,2022-10-25 03:00:43+00:00,Dasar cacar monyet,neutral
398,2022-10-24 13:37:14+00:00,Cacar monyet,neutral
399,2022-10-24 12:26:40+00:00,musim cacar biasa kan bukan monyet,neutral
402,2022-10-24 06:24:15+00:00,tiati cacar monyet,neutral
403,2022-10-24 06:21:58+00:00,Lagi sakit cacar monyet,neutral
404,2022-10-24 05:10:26+00:00,Cacar monyet,neutral
406,2022-10-24 04:40:55+00:00,ADjem Masuk akal tapi mgkin bukan bsa melawan tapi salah set nabrak gerbong sendiri Krn LGBT agenda penting bagi mereka cacar monyet alhasil cacarnya ngilang tinggal monyetnya plonga plongo telanjur beli vax,neutral
410,2022-10-24 03:08:43+00:00,Cacar monyet siahhh,neutral
412,2022-10-24 01:43:46+00:00,Jangan bilang kena cacar monyet,neutral
418,2022-10-23 23:07:58+00:00,cacar monyet sedang mengintai,neutral
419,2022-10-23 17:56:19+00:00,Ponaan org sulung full imunisasi pas asma smpai skrg usia 17th ke2 imunisasi dasar smpai usia bln aja mudah demam batuk pilek smpai skrg thn abis vaksin covid pfizer mkin mudah sakit amp kena cacar monyet ke3 imunisasi alhamdulillah lebih sehat,positive
422,2022-10-23 11:08:20+00:00,Emang masih ada peduli Cacar monyet aja gak ngaruh Apa biar ihsg ambruk lagi,neutral
423,2022-10-23 07:50:49+00:00,Mau pake isu covid udah nggak laku jualan isu kanker serviks gagal isu cacar monyet dicuekin sekarang coba lagi gagal ginjal masyarakat sudah cerdas dan tidak sembrono memilih presiden obat sirup,neutral
427,2022-10-23 02:54:38+00:00,411 Abaikan yakin padam tuh hosip sama halnya cacar monyet ilang kan krn terus2an dibahas,neutral
428,2022-10-22 22:42:20+00:00,kmrn pas cacar monyet org2 gaada takut soalnya wkwk mananya nyari bahan terus,neutral
429,2022-10-22 16:09:20+00:00,cacar monyet ari teu heboh mah anteng anteng weh,neutral
430,2022-10-22 14:37:07+00:00,cacar monyet kali itu,neutral
432,2022-10-22 01:53:40+00:00,Setelah cacar monyet tdk berhasil gaksi capek amat wakanda,neutral
436,2022-10-21 22:48:13+00:00,Dari covid hepatitis misterius sampai cacar monyet masih bisa tenang tapi pas gagal ginjal akut ini bener2 MasyaAllah Tabarakallah Pemerintah kemana wae weiiii,neutral
437,2022-10-21 19:48:40+00:00,Euww gay Berak sure bersepah Harap insaf cepat2 sebelum virus cacar monyet hinggap kat badan,positive
438,2022-10-21 19:03:41+00:00,tapi takut cacar monyet,neutral
439,2022-10-21 14:11:03+00:00,Pengen jadi covid tapi udah 2022 cacar monyet aja kali yak Hahahah,neutral
440,2022-10-21 13:32:28+00:00,Allah tolong ini sampe tiap plg kantor tanyain ibu jaga anaknya hari ini ada sakit maudy pipis brp udh 3tahun ini tenang bgt kayanya covid sampe cacar monyet sampe kejadian ini,neutral
441,2022-10-21 12:54:11+00:00,Sekarang ini jgn beri maaf bila selingkuh Ngeri penyakit berserakan dimana mana ada covid cacar monyet hepatitis hiv Semua mematikan Mati konyol krn memaafkan,neutral
442,2022-10-21 12:48:00+00:00,Cacar monyet apa kabar,neutral
443,2022-10-21 10:18:32+00:00,Cacar monyet apakabar,neutral
448,2022-10-21 07:15:49+00:00,404 Anggap saja Yang pasca fucksin copet menderita penyakit and menularkan balita yang rentan berujung gagal organ dan meninggal kepada yang ditularinya Cacar monyet diderita anak saya yang gak fucksin copet ditulari teman nya yang pasca fucksin copet,neutral
449,2022-10-21 07:07:40+00:00,semoga pandemi cacar monyet,neutral
456,2022-10-20 22:08:11+00:00,Cacar Monyet tdk seperti prediksi akan menjadi pandemi baru Kini gagal ginjal pada pasien anak adalah kasus baru Viralnya kasus ini memang banyak disebarkan melalui grup2 dan media sosial Penyakit Ginjal anak mmg sangat jarang ditemui Namun mendadak ada kejadian ini,neutral
460,2022-10-20 08:08:55+00:00,Bagaimana Vacsin ke3 perlu gak untuk tubuh bagaimana dgn vacson cacar monyet,neutral
463,2022-10-20 01:25:15+00:00,Cacar monyet meluas Hepatitis misterius muncul Golongan darah baru ditemukan Gagal ginjal Akut muncul Sebelum ini semua terjadi masih ingat pernah ada intervensi medis massal apa,neutral
464,2022-10-20 00:55:51+00:00,Penyakit pda anak kok semakin hari semakin ngeri Kemarin heboh cacar monyet hepatitis trus skrng gagal ginjal sebagai seorang ibu sedih amp jujurly takut jga,neutral
465,2022-10-19 15:06:43+00:00,Cacar monyet sama hepatitis misterius tuh gimana kabarnya Udah ada gagal ginjal akut misterius aja skrg hadeh cape bgt org tua,neutral
470,2022-10-19 14:22:57+00:00,vaksin cacar monyet,neutral
471,2022-10-19 14:15:49+00:00,perasaan ada2 aja copid selese brita cacar monyet ada lagi ini heran aja sih tindakan preventif sih emang tapi kek mana,neutral
472,2022-10-19 13:55:28+00:00,Posisi kasur tepat dibawah jendela Kadang ada remehan dari tralis jendela Padahal tiap pagi malem gue gusain Gue asal jeplak aja keknya tomcat emak lebih parah cacar monyet,neutral
473,2022-10-19 13:33:10+00:00,Wkwkwk orang awam pun paham penyebabnya Fucksin Semenjak pemaksaan Fucksin banyak bermunculan penyakit tak wajar cacar monyet gagal ginjal akut anak dll Siapkan iman terbaik menghadapi akhir zaman zaman penuh fitnah dimana pendusta akan dipercaya Sebelum Dajjal tiba,neutral
474,2022-10-19 13:30:55+00:00,cacar monyet laku cacar anjing gak laku sapi gila kurang greget sekarang,neutral
476,2022-10-19 13:29:08+00:00,Covid hepatitis akut cacar monyet sekarang gagal ginjal akut Masa kudu ngekepin bocil rumah mulu dari lahir ampe sekarang,neutral
477,2022-10-19 09:31:40+00:00,Habis covid terbitlah cacar monyet hepatitis misterius sekarang gagal ginjal akut Oalah serem serem banget ancaman pada kesehatan anak,neutral
